Serviciu online:,Descriere:,Gestionat de catre:,Acceseaza:,Contact institutie responsabila (e-mail):,Latitudine-Nord,Longitudine-Est,
TEST,TEST,TEST,https://github.com/daramusalexa,daramus.alexa@gmail.com,0.0,0.0,
Adopții,Serviciul se adreseaza persoanelor/ familiilor care doresc sa adopte un copil,Autoritatea Nationala pentru Drepturile Persoanelor cu Dizabilitati Copii si Adoptii,http://www.copii.ro/activitate/adoptie/,office@anpfdc.ro,44.442577,26.098208,
E-Pasapoarte,Programare Online in vederea obtinerii unui pasaport,Ministerul Afacerilor Interne prin intermediul Directiei Generale de Pasapoarte,https://epasapoarte.ro/,dgp.relatiipublice@mai.gov.ro,44.438731,26.098658,
Portalul Inspectoratului General pentru Imigrari,Programare online in vederea prezentarii la ghiseele formatiunilor teritoriale pentru imigrari si facilitatea de a transmite in format scanat documentele necesare pentru depunerea diferitelor cereri.,Ministerul Afacerilor Interne prin intermediul Inspectoratului General pentru Imigrari,http://portaligi.mai.gov.ro/,igi@mai.gov.ro,44.438731,26.098658,
Înscrierea la bibliotecă,Serviciul de inscriere la biblioteca este disponibil pentru orice cetatean ce doreste sa acceseze serviciile oferite de Biblioteca Nationala a Romaniei.,Ministerul Culturii,http://alephnew.bibnat.ro/,presa@cultura.ro,44.426042,26.110099,
Căutarea unui loc de munca,Medierea solicitantului în vederea identificarii unui loc de munca potrivit pregatirii profesionale si nivelului studiilor,Agentia Nationala pentru Ocuparea fortei de munca,https://www.anofm.ro/,anofm@anofm.ro,44.416936,26.111598,
REVISAL,Accidente de munca si incapacitate de munca,Inspectia Muncii,https://www.inspectiamuncii.ro/zona-privata-angajator,comunicare@inspectiamuncii.ro,44.4383544,26.124672,
Fiscalitate pentru cetățeni,Inregistrarea pentru plata taxelor,Agentia Nationala pentru Administrare Fiscala,https://www.anaf.ro/anaf/internet/ANAF/servicii_online/Inregistrare_persoane_fizice,cabinet.presedinte@anaf.ro,44.429818,26.092717,
GHISEUL.RO,Ghiseul.ro este un serviciu pus la dispozitie cetenilor in mod gratuit pentru plata impozitelor si taxelor stabilite de institutiile publice inrolate in sistem precum si a amenzilor contraventionale cu deducerile aferente platii in 48 de ore.,Autoritatea pentru Digitalizarea Romaniei,https://www.ghiseul.ro/ghiseul/public/,contact@adr.gov.ro,44.438463,26.1046483,
Informații fiscale,Prin intermediul acestui serviciu se pot verifica informatii privind înregistrarea contribuabililor persoane juridice si a institutiilor publice declaratiile obligatiilor fiscale,Ministerul Finantelor Publice,http://www.mfinante.roinfocodfiscal.html,publicinfo@mfinante.gov.ro,44.429992,26.092445,
POSTURI.GOV.RO,Portal unic a informatiilor privind posturile vacante din cadrul autoritatilorilor si institutiilor publice din Romania,Secretariatul General al Guvernului,http://posturi.gov.ro/,posturi@gov.ro,44.452962,26.087393,
Servicii digitale pentru vinderea locuinței,Transfer de proprietate,Agentia Nationala de Cadastru si Publicitate Imobiliara,http://www.ancpi.ro/,office@ancpi.ro,44.4412631,26.0668108,
Obținerea pensiei,Pensionare-servicii online portal cnpp,Casa Națională de Pensii Publice,https://www.cnpp.ro,petitii.sesizari@cnpp.ro,44.438797,26.1112723,
Obținerea drepturilor financiare pentru persoanele cu dizabilități,Înregistrarea persoanelor cu dizabilitati în vederea obtinerii drepturilor sociale,Autoritatea Nationala pentru Drepturile Persoanelor cu Dizabilitati Copii si Adoptii,http://anpd.gov.ro/web/informatii-utile/evaluarea-si-incadrarea-in-grad-de-handicap/,contact@andpdca.gov.ro,44.4480913,26.0872864,
